iteration,quality_00,quality_01,quality_02,quality_03,quality_04
361,55679,55614,55937,55644,55208
362,55638,55614,55937,55644,55208
363,55638,55614,55937,55644,55208
364,55638,55614,55937,55644,55208
365,55638,55614,55937,55644,55208
366,55638,55614,55937,55644,55208
367,55638,55614,55937,55644,55208
368,55638,55614,55937,55644,55208
369,55638,55614,55937,55644,55208
370,55638,55614,55937,55644,55208
371,55638,55614,55937,55644,55208
372,55638,55614,55496,55644,55208
373,55638,55614,55372,55644,55208
374,55638,55614,55372,55644,55208
375,55638,55614,55372,55644,55208
376,55638,55553,55372,55644,55208
377,55638,55553,55372,55644,55208
378,55638,55553,55372,55644,55208
379,55638,55553,55372,55644,55208
380,55638,55553,55372,55644,55208
381,55638,55553,55372,55644,55208
382,55638,55553,55372,55644,55208
383,55638,55553,55372,55644,55208
384,55638,55553,55372,55644,55208
385,55638,55553,55372,55644,55208
386,55638,55553,55372,55644,55208
387,55638,55553,55372,55644,55208
388,55638,55553,55200,55644,55208
389,55638,55553,55200,55644,55208
390,55558,55553,55200,55644,55208
391,55558,55553,54906,55644,55208
392,55558,55553,54906,55644,55208
393,55558,55553,54906,55644,55208
394,55558,55553,54906,55644,55208
395,55558,55553,54906,55644,55208
396,55168,55553,54906,55517,55208
397,55168,55553,54906,55517,55208
398,55168,55553,54906,55517,55208
399,55168,55553,54906,55517,55208
400,55168,55553,54906,55517,55208
401,55168,55553,54906,55517,55208
402,55168,55553,54906,55517,55208
403,55168,55553,54906,55517,55208
404,55168,55553,54906,55517,55208
405,55168,55553,54906,55517,55208
406,55168,55553,54906,55517,55208
407,55168,55553,54749,55517,55208
408,55168,55553,54749,55517,55208
409,55168,55553,54749,55517,55208
410,55168,55553,54749,55517,54973
411,55168,55553,54749,55517,54973
412,55168,55553,54749,55517,54973
413,55168,55553,54749,55517,54973
414,55168,55553,54749,55517,54973
415,55168,55553,54749,55517,54973
416,55168,55553,54749,55386,54973
417,55168,55495,54749,55386,54973
418,55168,55495,54749,55386,54973
419,55168,55495,54749,55386,54973
420,55168,55495,54749,55386,54973
421,55168,55495,54749,55386,54590
422,55168,55495,54749,55386,54590
423,55168,55495,54749,55386,54590
424,55168,55495,54749,55386,54590
425,55168,55495,54749,55386,54590
426,55141,55495,54635,55386,54590
427,55141,55495,54635,55386,54590
428,55141,55495,54635,55386,54590
429,55141,55495,54635,55386,54590
430,55141,55495,54635,55386,54590
431,55141,55495,54635,55386,54590
432,55141,55495,54635,55386,54590
433,55141,55495,54635,55386,54590
434,55141,55495,54635,55386,54590
435,55141,55495,54635,55386,54590
436,55141,55495,54635,55386,54590
437,55141,55495,54635,55386,54590
438,55141,55495,54635,55386,54590
439,55141,55495,54635,55386,54590
440,55141,55495,54635,55386,54590
441,55141,55495,54635,55386,54590
442,55141,55495,54635,55386,54590
443,55141,55495,54635,55386,54590
444,55141,55495,54635,55386,54590
445,55141,55495,54635,55386,54590
446,55141,55495,54635,55386,54590
447,55141,55495,54635,55386,54590
448,55141,55495,54635,55386,54590
449,55141,55495,54635,55386,54590
450,55141,55495,54635,55386,54590
451,55141,55495,54635,55386,54590
452,55141,55495,54635,55386,54590
453,55141,55495,54635,55386,54590
454,55141,55495,54635,55386,54590
455,55141,55495,54635,55386,54590
456,55141,55495,54635,55386,54590
457,55141,55495,54635,55386,54590
458,55141,55495,54635,55386,54590
459,55141,55495,54635,55386,54590
460,55141,55054,54635,55386,54590
461,55141,55054,54635,55386,54590
462,55141,55054,54635,55386,54590
463,55141,55054,54635,55386,54590
464,55141,55054,54474,55386,54590
465,55141,55054,54474,55386,54590
466,55141,55054,54474,55386,54590
467,55141,55054,54474,55386,54590
468,55141,55054,54474,55386,54590
469,55141,55054,54474,55386,54590
470,55141,55054,54474,55386,54590
471,55141,55054,54474,55386,54590
472,55141,55054,54474,55386,54590
473,55141,55054,54474,55386,54590
474,55141,55054,54474,55386,54590
475,55141,55054,54474,55386,54590
476,55141,55017,54474,55386,54590
477,55141,55017,54474,55386,54590
478,55141,55017,54474,55386,54590
479,55141,55017,54474,55386,54590
480,55141,55017,54474,55386,54590
481,55141,55017,54474,55386,54590
482,55141,55017,54474,55386,54590
483,55141,55017,54474,55386,54590
